treeModel rep clockModel nodeID trueTime estTime p0025 p0975
D750_11_10 rep001 trilnormcave I75 8.47328 10.4344 6.638334249119884 11.311327201894109
D750_11_10 rep001 trilnormcave I76 9.27194 11.2504 6.869420761896089 11.893323377633127
D750_11_10 rep001 trilnormcave I77 2.52234 3.3169 1.8600936220909503 4.726783047571989
D750_11_10 rep001 trilnormcave I78 3.34785 3.4143 1.6484919156217566 4.6212271547555845
D750_11_10 rep001 trilnormcave I79 0.199524 0.9741 0.2135996300297876 2.1893898494154884
D750_11_10 rep001 trilnormcave I8 5.64279 2.9943 1.4069154501110135 4.1637868007739876
D750_11_10 rep001 trilnormcave I80 0.842481 0.8577 0.11804430239494626 2.5122405989747016
D750_11_10 rep001 trilnormcave I81 3.0593 3.5517 1.8724688633224038 4.713885257762758 
D750_11_10 rep001 trilnormcave I82 0.341389 0.1628 0.001 0.7333791817667674
D750_11_10 rep001 trilnormcave I83 0.529561 0.3813 0.001 1.6056500170390784
D750_11_10 rep001 trilnormcave I84 0.691753 1.3168 0.2712174000213619 2.7824248933738773 
D750_11_10 rep001 trilnormcave I85 2.52875 5.2346 1.9684517484162252 8.750346536173394 
D750_11_10 rep001 trilnormcave I86 0.0469708 0.5886 0.001 2.0756565777059954 
D750_11_10 rep001 trilnormcave I87 4.83331 4.0311 1.9507658825895204 5.075704271407796
D750_11_10 rep001 trilnormcave I88 2.15759 1.0491 0.37813307484629016 2.490982074801722
D750_11_10 rep001 trilnormcave I89 0.761152 1.0972 0.551716378526111 2.7696818080002794 
D750_11_10 rep001 trilnormcave I9 1.03754 3.2191 1.4736170976976752 4.236703085650949
D750_11_10 rep001 trilnormcave I90 5.53789 6.1597 4.901676662695942 9.345623217512923
D750_11_10 rep001 trilnormcave I91 0.15725 0.1658 0.001 0.8084993860110377
D750_11_10 rep001 trilnormcave I92 1.63133 1.0435 0.15435548757447135 2.791198430308234
D750_11_10 rep001 trilnormcave I93 0.127508 0.4291 0.001 1.5507827539226824 
D750_11_10 rep001 trilnormcave I94 0.721365 0.1656 0.001 0.8461352700828996
D750_11_10 rep001 trilnormcave I95 1.00723 1.5475 0.4477565905935722 3.9928259280540077
D750_11_10 rep001 trilnormcave I96 0.875971 1.3462 0.3643525943200541 2.542985899214781
D750_11_10 rep001 trilnormcave I97 0.317805 0.4159 0.001 1.8967166084603302
D750_11_10 rep001 trilnormcave I98 1.4626 1.3052 0.34632045851656523 2.467484082713148 
D750_11_10 rep001 trilnormcave I99 0.0128951 0.1444 0.001 0.9503784267261627
D750_11_10 rep001 trilnorm 000001 3.15613 3.1861 2.6654419000433367 5.286628668601341
D750_11_10 rep001 trilnorm 000002 8.16315 9.5374 3.8216029231457838 13.313413071539928 
