treeModel rep clockModel nodeID trueAge estAge p0025 p0975
D750_11_10 rep001 trilnormvex I56 12.4395 16.2859 9.7916 16.6076
D750_11_10 rep001 trilnormvex I57 17.1673 21.071 18.6814 21.3657
D750_11_10 rep001 trilnormvex I58 22.7648 24.2105 21.6656 25.3657
D750_11_10 rep001 trilnormvex I59 4.32553 5.9413 1.794 7.0805
D750_11_10 rep001 trilnormvex I6 4.50349 6.3064 1.7507 8.1662
D750_11_10 rep001 trilnormvex I60 6.09013 9.0246 2.5287 8.7142
D750_11_10 rep001 trilnormvex I61 25.2353 25.2795 23.5001 25.3657
D750_11_10 rep001 trilnormvex I62 18.0335 17.7471 11.923 18.8991
D750_11_10 rep001 trilnormvex I63 3.43838 4.802 1.8763 6.9058
D750_11_10 rep001 trilnormvex I64 15.3782 10.9831 10.9399 17.3656
D750_11_10 rep001 trilnormvex I65 17.4343 18.9819 15.3244 20.288
D750_11_10 rep001 trilnormvex I66 20.3401 19.753 16.7983 20.2919
D750_11_10 rep001 trilnormvex I67 3.7518 4.9067 2.7075 6.9068
D750_11_10 rep001 trilnormvex I68 3.88622 5.1547 3.5337 7.6022
D750_11_10 rep001 trilnormvex I69 6.04765 7.4027 4.6413 9.0422
D750_11_10 rep001 trilnormvex I7 12.472 12.9261 6.4175 15.3798
D750_11_10 rep001 trilnormvex I70 9.55557 9.1977 5.1726 11.1055
D750_11_10 rep001 trilnormvex I71 21.81 21.8203 20.2171 23.3657
D750_11_10 rep001 trilnormvex I72 25.4232 26.6842 25.1235 27.3657
D750_11_10 rep001 trilnormvex I73 12.4146 13.1705 9.2407 13.3657
D750_11_10 rep001 trilnormvex I74 6.80255 8.2101 5.5776 9.3657
D750_11_10 rep001 trilnormvex I75 15.2758 16.4536 14.1193 26.2625
D750_11_10 rep001 trilnormvex I76 24.5478 26.0108 26.1824 27.3657
D750_11_10 rep001 trilnormvex I77 5.16384 6.6245 4.8372 11.3637
D750_11_10 rep001 trilnormvex I78 8.51169 9.1533 7.7514 11.3647
D750_11_10 rep001 trilnormvex I79 8.71122 9.3918 8.055 11.3657
D750_11_10 rep001 trilnormvex I8 18.1148 17.4515 13.8126 18.6814
D750_11_10 rep001 trilnormvex I80 1.56461 3.6683 -0.6509 6.6107
D750_11_10 rep001 trilnormvex I81 4.62391 6.8649 2.0798 13.3647
D750_11_10 rep001 trilnormvex I82 4.9653 7.2796 2.0808 13.3657
D750_11_10 rep001 trilnormvex I83 2.09417 4.3426 0.832 6.6285
D750_11_10 rep001 trilnormvex I84 2.78592 4.7793 1.43 6.6295
D750_11_10 rep001 trilnormvex I85 5.31468 5.9326 2.2352 6.8048
D750_11_10 rep001 trilnormvex I86 5.36165 6.0209 2.2745 7.1667
D750_11_10 rep001 trilnormvex I87 10.195 10.613 9.1521 13.3657
D750_11_10 rep001 trilnormvex I88 7.47227 8.2145 4.7311 9.1833
D750_11_10 rep001 trilnormvex I89 8.23342 9.4452 5.3553 12.6427
D750_11_10 rep001 trilnormvex I9 19.1523 19.2532 17.0692 19.3657
D750_11_10 rep001 trilnormvex I90 13.7713 14.827 8.2041 18.4142
D750_11_10 rep001 trilnormvex I91 7.62952 8.2949 5.0817 9.1844
D750_11_10 rep001 trilnormvex I92 4.41725 5.2325 2.0598 6.6306
D750_11_10 rep001 trilnormvex I93 4.54476 5.373 2.1755 6.6316
D750_11_10 rep001 trilnormvex I94 5.26613 6.2593 2.6341 6.9571
D750_11_10 rep001 trilnormvex I95 6.27335 7.7753 2.7126 8.7482
D750_11_10 rep001 trilnormvex I96 7.14933 8.2718 3.4071 9.7595
D750_11_10 rep001 trilnormvex I97 4.73506 5.4395 3.4053 8.5844
D750_11_10 rep001 trilnormvex I98 6.19766 6.908 5.9944 9.3647
D750_11_10 rep001 trilnormvex I99 6.21055 6.9963 6.2614 9.3657
D750_11_10 rep002 trilnormcave I1 0 -1.0876 -8.5888 -2.7187
D750_11_10 rep002 trilnormcave I110 1.85346 1.0561 -6.8084 -0.3922
D750_11_10 rep002 trilnormcave I111 2.09417 1.1849 -6.7591 0.9338
D750_11_10 rep002 trilnormcave I112 13.5556 13.661 10.1518 15.3647
D750_11_10 rep002 trilnormcave I113 14.1454 13.8155 10.3467 15.3657
D750_11_10 rep002 trilnormcave I114 2.30049 1.6173 -5.366 2.838
D750_11_10 rep002 trilnormcave I115 2.48103 1.731 -3.4417 3.8637
D750_11_10 rep002 trilnormcave I116 3.14867 2.6859 -0.8116 4.4598
D750_11_10 rep002 trilnormcave I117 3.52334 2.8435 0.6721 5.621
D750_11_10 rep002 trilnormcave I118 3.67959 3.191 2.1799 6.5894
D750_11_10 rep002 trilnormcave I119 5.13709 6.5644 4.1536 8.1453
D750_11_10 rep002 trilnormcave I120 5.83099 7.2896 4.673 9.1563
D750_11_10 rep002 trilnormcave I121 13.6861 15.8518 11.8849 15.8637
D750_11_10 rep002 trilnormcave I122 5.4728 7.3208 6.1418 10.5309
D750_11_10 rep002 trilnormcave I123 5.79721 7.4864 6.7858 10.5604
D750_11_10 rep002 trilnormcave I124 6.70564 8.287 7.2502 11.8553
D750_11_10 rep002 trilnormcave I125 12.0905 14.2946 12.4375 15.3656
