clockModel rep method brName estLength trueLength
scenario1 rep001 BEAST_strict Hedyosmum 107.4879 123.023
scenario1 rep001 BEAST_strict Helianthus 40.5428 81.531
scenario1 rep001 BEAST_strict Helwingia 66.5578 66.5
scenario1 rep001 BEAST_strict I1 0.6987 1.89771
scenario1 rep001 BEAST_strict I10 13.2507 7.46815
scenario1 rep001 BEAST_strict I11 0.9748 1.09851
scenario1 rep001 BEAST_strict I12 5.434 27.779
scenario1 rep001 BEAST_strict I13 0.6969 0.185028
scenario1 rep001 BEAST_strict I14 4.7368 3.86045
scenario1 rep001 BEAST_strict I15 1.5999 1.09603
scenario1 rep001 BEAST_strict I16 15.0439 8.94009
scenario1 rep001 BEAST_strict I17 48.0877 45.9205
scenario1 rep001 BEAST_strict I18 0.3585 0.164182
scenario1 rep001 BEAST_strict I19 0.6394 5.83703
scenario1 rep001 BEAST_strict I2 2.1373 31.6116
scenario1 rep001 BEAST_strict I20 1.8276 3.33915
scenario1 rep001 BEAST_strict I21 6.9288 8.5569
scenario1 rep001 BEAST_strict I22 1.2795 5.18713
scenario1 rep001 BEAST_strict I23 5.0233 2.44022
scenario1 rep001 BEAST_strict I24 1.7119 1.63732
scenario1 rep001 BEAST_strict I25 5.1875 2.23768
scenario1 rep001 BEAST_strict I26 2.1172 3.78906
scenario1 rep001 BEAST_strict I27 0.8119 1.59502
scenario1 rep001 BEAST_strict I28 7.7991 9.98418
scenario1 rep001 BEAST_strict I29 3.5184 15.2348
scenario1 rep001 BEAST_strict I3 20.137 8.06111
scenario1 rep001 BEAST_strict I30 3.539 1.5171
scenario1 rep001 BEAST_strict I31 45.2936 5.26619
scenario1 rep001 BEAST_strict I32 9.0033 1.61306
scenario1 rep001 BEAST_strict I33 27.178 19.2484
