scenario method rep error
scenario3 wLogDate rep086 2.450947181856377
scenario3 MD-Cat rep086 0.7056598091620194
scenario3 wLogDate rep087 1.7752695597631523
scenario3 MD-Cat rep087 0.8384701519562217
scenario3 wLogDate rep088 1.4148799841885256
scenario3 MD-Cat rep088 0.8081108038406722
scenario3 wLogDate rep089 0.7557884375625007
scenario3 MD-Cat rep089 0.7280505178597123
scenario3 wLogDate rep090 2.4498943683018144
scenario3 MD-Cat rep090 0.7940236839935928
scenario3 wLogDate rep091 1.3776108237441023
scenario3 MD-Cat rep091 0.6658663556393744
scenario3 wLogDate rep092 1.6932725159491444
scenario3 MD-Cat rep092 0.6808841508110959
scenario3 wLogDate rep093 0.8766171335686453
scenario3 MD-Cat rep093 0.8520584809041558
scenario3 wLogDate rep094 1.5836512513049716
scenario3 MD-Cat rep094 0.6768423708094348
scenario3 wLogDate rep095 1.5140673116333045
scenario3 MD-Cat rep095 0.8750587952255852
scenario3 wLogDate rep096 0.7592772520717274
scenario3 MD-Cat rep096 0.7756597879854554
scenario3 wLogDate rep097 1.1803736939405611
scenario3 MD-Cat rep097 0.7476743636298054
scenario3 wLogDate rep098 1.8247141511340996
scenario3 MD-Cat rep098 0.650107680854054
scenario3 wLogDate rep099 1.2774549799203516
scenario3 MD-Cat rep099 0.6615925860967703
